,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16
278,a,16.08,u,g,0.335,ff,126,True,ff,0.0,False,1,False,160,g,Failure
279,a,31.92,u,g,3.125,ff,4,True,ff,3.04,False,2,True,200,g,Failure
280,b,69.17,u,g,9.0,ff,6,True,ff,4.0,False,1,False,70,g,Failure
281,b,32.92,u,g,2.5,aa,0,True,v,1.75,False,2,True,720,g,Failure
282,b,16.33,u,g,2.75,aa,21,True,v,0.665,False,1,False,80,g,Failure
283,b,22.17,u,g,12.125,c,173,True,v,3.335,False,2,True,180,g,Failure
284,a,57.58,u,g,2.0,ff,10,True,ff,6.5,False,1,False,0,g,Failure
285,b,18.25,u,g,0.165,d,0,False,v,0.25,False,0,True,280,s,Failure
286,b,23.42,u,g,1.0,c,0,False,v,0.5,False,0,True,280,s,Failure
287,a,15.92,u,g,2.875,q,0,False,v,0.085,False,0,False,120,g,Failure
288,a,24.75,u,g,13.665,q,1,False,h,1.5,False,0,False,280,g,Failure
289,b,48.75,y,p,26.335,ff,0,False,ff,0.0,True,0,True,0,g,Failure
290,b,23.5,u,g,2.75,ff,25,False,ff,4.5,False,0,False,160,g,Failure
291,b,18.58,u,g,10.29,ff,0,False,ff,0.415,False,0,False,80,g,Failure
292,b,27.75,u,g,1.29,k,0,False,h,0.25,False,0,True,140,s,Failure
293,a,31.75,y,p,3.0,j,20,False,j,0.0,False,0,False,160,g,Failure
294,a,24.83,u,g,4.5,w,6,False,v,1.0,False,0,True,360,g,Failure
295,b,19,y,p,1.75,c,6,False,v,2.335,False,0,True,112,g,Failure
296,a,16.33,u,g,0.21,aa,1,False,v,0.125,False,0,False,200,g,Failure
297,a,18.58,u,g,10.0,d,42,False,v,0.415,False,0,False,80,g,Failure
298,b,16.25,y,p,0.0,aa,0,False,v,0.25,False,0,False,60,g,Failure
299,b,23,u,g,0.75,m,0,False,v,0.5,True,0,True,320,s,Failure
300,b,21.17,y,p,0.25,c,204,False,h,0.25,False,0,False,280,g,Failure
301,b,17.5,l,gg,22.0,ff,100000,False,o,0.0,False,0,True,450,p,Success
302,b,19.17,y,p,0.0,m,1,False,bb,0.0,False,0,True,500,s,Success
303,b,36.75,y,p,0.125,c,113,False,v,1.5,False,0,True,232,g,Success
304,b,21.25,u,g,1.5,w,8,False,v,1.5,False,0,False,150,g,Success
305,a,18.08,l,gg,0.375,cc,0,False,ff,10.0,False,0,True,300,s,Success
306,a,33.67,u,g,0.375,cc,44,False,v,0.375,False,0,False,300,g,Success
307,b,48.58,y,p,0.205,k,2732,True,v,0.25,True,11,False,380,g,Success
308,b,33.67,u,g,1.25,w,0,False,v,1.165,False,0,False,120,g,Failure
309,a,29.5,y,p,1.085,x,13,False,v,1.0,False,0,False,280,g,Failure
310,b,30.17,y,p,1.085,c,179,False,v,0.04,False,0,False,170,g,Failure
311,b,40.83,u,g,3.5,i,0,False,bb,0.5,False,0,False,1160,s,Failure
312,b,34.83,y,p,2.5,w,0,False,v,3.0,False,0,False,200,s,Failure
313,b,31.976661,y,p,4.0,i,0,False,v,0.085,False,0,True,411,g,Failure
314,b,20.42,u,g,0.0,c,0,False,v,0.0,False,0,False,186.928044,p,Failure
315,a,33.25,y,p,2.5,c,2,False,v,2.5,False,0,True,0,g,Failure
316,b,34.08,u,g,2.5,c,16,False,v,1.0,False,0,False,460,g,Failure
317,a,25.25,u,g,12.5,d,1062,False,v,1.0,False,0,True,180,g,Failure
318,b,34.75,u,g,2.5,cc,0,False,bb,0.5,False,0,False,348,g,Failure
319,b,27.67,u,g,0.75,q,251,False,h,0.165,False,0,True,220,g,Failure
320,b,47.33,u,g,6.5,c,228,False,v,1.0,False,0,True,0,g,Failure
321,a,34.83,y,p,1.25,i,0,False,h,0.5,False,0,True,160,g,Failure
322,a,33.25,y,p,3.0,aa,0,False,v,2.0,False,0,False,180,g,Failure
323,b,28,u,g,3.0,w,67,False,v,0.75,False,0,True,300,g,Failure
324,a,39.08,u,g,4.0,c,0,False,v,3.0,False,0,False,480,g,Failure
325,b,42.75,u,g,4.085,aa,100,False,v,0.04,False,0,False,108,g,Failure
326,b,26.92,u,g,2.25,i,4000,False,bb,0.5,False,0,True,640,g,Failure
327,b,33.75,u,g,2.75,i,0,False,bb,0.0,False,0,False,180,g,Failure
328,b,38.92,u,g,1.75,k,2,False,v,0.5,False,0,True,300,g,Failure
329,b,62.75,u,g,7.0,e,12,False,z,0.0,False,0,False,0,g,Failure
330,b,32.25,u,g,1.5,c,122,False,v,0.25,False,0,True,372,g,Failure
331,b,26.75,y,p,4.5,c,1210,False,bb,2.5,False,0,False,200,g,Failure
332,b,63.33,u,g,0.54,c,0,True,v,0.585,True,3,True,180,g,Failure
333,b,27.83,u,g,1.5,w,3,True,v,2.25,False,1,True,100,g,Failure
334,a,26.17,u,g,2.0,j,1,False,j,0.0,False,0,True,276,g,Failure
335,b,22.17,y,p,0.585,ff,0,False,ff,0.0,False,0,False,100,g,Failure
336,b,22.5,y,p,11.5,m,4000,False,v,1.5,False,0,True,0,g,Failure
337,b,30.75,u,g,1.585,d,0,False,v,0.585,False,0,True,0,s,Failure
338,b,36.67,u,g,2.0,i,0,False,v,0.25,False,0,True,221,g,Failure
339,a,16,u,g,0.165,aa,1,True,v,1.0,False,2,True,320,g,Failure
340,b,41.17,u,g,1.335,d,0,False,v,0.165,False,0,False,168,g,Failure
341,a,19.5,u,g,0.165,q,0,False,v,0.04,False,0,True,380,g,Failure
342,b,32.42,u,g,3.0,d,0,False,v,0.165,False,0,True,120,g,Failure
343,a,36.75,u,g,4.71,ff,0,False,ff,0.0,False,0,False,160,g,Failure
344,a,30.25,u,g,5.5,k,0,False,v,5.5,False,0,True,100,s,Failure
345,b,23.08,u,g,2.5,ff,4208,False,ff,0.085,False,0,True,100,g,Failure
346,b,26.83,u,g,0.54,k,0,False,ff,0.0,False,0,False,100,g,Failure
347,b,16.92,y,p,0.335,k,0,False,v,0.29,False,0,False,200,s,Failure
348,b,24.42,u,g,2.0,e,1300,True,dd,0.165,False,2,False,320,g,Failure
349,b,42.83,u,g,1.25,m,112,True,v,13.875,False,1,True,352,g,Failure
350,a,22.75,u,g,6.165,aa,1000,False,v,0.165,False,0,False,220,g,Failure
351,b,39.42,y,p,1.71,m,0,False,v,0.165,False,0,False,400,s,Failure
352,a,23.58,y,p,11.5,k,16,False,h,3.0,False,0,True,20,g,Failure
353,b,21.42,y,p,0.75,r,2,False,n,0.75,False,0,True,132,g,Failure
354,b,33,y,p,2.5,w,0,False,v,7.0,False,0,True,280,g,Failure
355,b,26.33,u,g,13.0,e,1110,False,dd,0.0,False,0,True,140,g,Failure
356,a,45,u,g,4.585,k,0,False,h,1.0,False,0,True,240,s,Failure
357,b,26.25,u,g,1.54,w,0,False,v,0.125,False,0,False,100,g,Failure
358,b,28.17,u,g,0.585,aa,1004,False,v,0.04,False,0,False,260,g,Failure
359,a,20.83,y,p,0.5,e,0,False,dd,1.0,False,0,False,260,g,Failure
360,b,28.67,u,g,14.5,d,286,False,v,0.125,False,0,False,0,g,Failure
361,b,20.67,y,p,0.835,c,0,False,v,2.0,False,0,True,240,s,Failure
362,b,34.42,u,g,1.335,i,4500,False,bb,0.125,False,0,True,440,g,Failure
363,b,33.58,u,g,0.25,i,0,False,bb,4.0,False,0,True,420,s,Failure
364,b,43.17,u,g,5.0,i,0,False,bb,2.25,False,0,True,141,g,Failure
365,a,22.67,u,g,7.0,c,0,False,v,0.165,False,0,False,160,g,Failure
366,a,24.33,y,p,2.5,i,456,False,bb,4.5,False,0,False,200,g,Failure
367,a,56.83,y,p,4.25,ff,4,False,ff,5.0,False,0,True,0,g,Failure
368,b,22.08,u,g,11.46,k,1212,False,v,1.585,False,0,True,100,g,Failure
369,b,34,y,p,5.5,c,0,False,v,1.5,False,0,True,60,g,Failure
370,b,22.58,y,p,1.5,aa,67,False,v,0.54,False,0,True,120,g,Failure
371,b,21.17,u,g,0.0,c,0,False,v,0.5,False,0,True,0,s,Failure
372,b,26.67,u,g,14.585,i,0,False,bb,0.0,False,0,True,178,g,Failure
373,b,22.92,u,g,0.17,m,0,False,v,0.085,False,0,False,0,s,Failure
374,b,15.17,u,g,7.0,e,0,False,v,1.0,False,0,False,600,g,Failure
375,b,39.92,u,g,5.0,i,0,False,bb,0.21,False,0,False,550,g,Failure
376,b,27.42,u,g,12.5,aa,0,False,bb,0.25,False,0,True,720,g,Failure
377,b,24.75,u,g,0.54,m,1,False,v,1.0,False,0,True,120,g,Failure
378,b,41.17,y,p,1.25,w,195,False,v,0.25,False,0,False,0,g,Failure
379,a,33.08,u,g,1.625,d,0,False,v,0.54,False,0,True,0,g,Failure
380,b,29.83,y,p,2.04,x,1,False,h,0.04,False,0,False,128,g,Failure
381,a,23.58,y,p,0.585,ff,87,False,ff,0.125,False,0,False,120,g,Failure
382,b,26.17,y,p,12.5,k,17,False,h,1.25,False,0,True,0,g,Failure
383,b,31,u,g,2.085,c,0,False,v,0.085,False,0,False,300,g,Failure
384,b,20.75,y,p,5.085,j,184,False,v,0.29,False,0,False,140,g,Failure
385,b,28.92,u,g,0.375,c,140,False,v,0.29,False,0,False,220,g,Failure
386,a,51.92,u,g,6.5,i,0,False,bb,3.085,False,0,True,73,g,Failure
387,a,22.67,u,g,0.335,q,0,False,v,0.75,False,0,False,160,s,Failure
388,b,34,y,p,5.085,i,0,False,bb,1.085,False,0,True,480,g,Failure
389,a,69.5,u,g,6.0,ff,0,False,ff,0.0,False,0,False,0,s,Failure
390,a,40.33,y,p,8.125,k,18,True,v,0.165,False,2,False,186.928044,g,Failure
391,a,19.58,y,p,0.665,c,2,True,v,1.0,False,1,False,2000,g,Failure
392,b,16,u,g,3.125,w,6,True,v,0.085,False,1,False,0,g,Failure
393,b,17.08,u,g,0.25,q,8,True,v,0.335,False,4,False,160,g,Failure
394,b,31.25,u,g,2.835,ff,146,True,ff,0.0,False,5,False,176,g,Failure
395,b,25.17,u,g,3.0,c,22,True,v,1.25,False,1,False,0,g,Failure
396,a,22.67,u,g,0.79,i,0,False,v,0.085,False,0,False,144,g,Failure
397,b,40.58,u,g,1.5,i,0,False,bb,0.0,False,0,False,300,s,Failure
398,b,22.25,u,g,0.46,k,55,False,v,0.125,False,0,True,280,g,Failure
399,a,22.25,y,p,1.25,ff,0,False,ff,3.25,False,0,False,280,g,Failure
400,b,22.5,y,p,0.125,k,70,False,v,0.125,False,0,False,200,g,Failure
401,b,23.58,u,g,1.79,c,1,False,v,0.54,False,0,True,136,g,Failure
402,b,38.42,u,g,0.705,c,500,True,v,0.375,False,2,False,225,g,Failure
403,a,26.58,y,p,2.54,ff,60,False,ff,0.0,False,0,True,180,g,Failure
404,b,35,u,g,2.5,i,0,False,v,1.0,False,0,True,210,g,Failure
405,b,20.42,u,g,1.085,q,7,False,v,1.5,False,0,False,108,g,Failure
406,b,29.42,u,g,1.25,w,0,False,v,1.75,False,0,False,200,g,Failure
407,b,26.17,u,g,0.835,cc,0,False,v,1.165,False,0,False,100,g,Failure
408,b,33.67,u,g,2.165,c,0,False,v,1.5,False,0,False,120,p,Failure
409,b,24.58,u,g,1.25,c,0,False,v,0.25,False,0,False,110,g,Failure
410,a,27.67,u,g,2.04,w,50,False,v,0.25,False,0,True,180,g,Failure
411,b,37.5,u,g,0.835,e,5,False,v,0.04,False,0,False,120,g,Failure
412,b,49.17,u,g,2.29,ff,3,False,ff,0.29,False,0,False,200,g,Failure
413,b,33.58,y,p,0.335,cc,0,False,v,0.085,False,0,False,180,g,Failure
414,b,51.83,y,p,3.0,ff,4,False,ff,1.5,False,0,False,180,g,Failure
415,b,22.92,y,p,3.165,c,1058,False,v,0.165,False,0,False,160,g,Failure
416,b,21.83,u,g,1.54,k,0,False,v,0.085,False,0,True,356,g,Failure
417,b,25.25,u,g,1.0,aa,0,False,v,0.5,False,0,False,200,g,Failure
418,b,58.58,u,g,2.71,c,0,False,v,2.415,False,0,True,320,g,Failure
419,b,19,y,p,0.0,ff,1,True,ff,0.0,False,4,False,45,g,Failure
420,b,19.58,u,g,0.585,ff,769,True,ff,0.0,False,3,False,350,g,Failure
421,a,53.33,u,g,0.165,ff,27,False,ff,0.0,False,0,True,62,s,Failure
422,a,27.17,u,g,1.25,ff,300,True,ff,0.0,False,1,False,92,g,Failure
423,b,25.92,u,g,0.875,k,3,True,v,0.375,False,2,True,174,g,Failure
424,b,23.08,u,g,0.0,k,0,True,v,1.0,False,11,False,0,s,Failure
425,b,39.58,u,g,5.0,ff,1,True,ff,0.0,False,2,False,17,g,Failure
426,b,30.58,y,p,2.71,m,0,False,v,0.125,False,0,True,80,s,Failure
427,b,17.25,u,g,3.0,k,40,False,v,0.04,False,0,True,160,g,Failure
428,a,17.67,y,p,0.0,j,0,False,ff,0.0,False,0,False,86,g,Failure
429,a,31.976661,u,g,11.25,ff,5200,False,ff,0.0,False,0,False,186.928044,g,Failure
430,b,16.5,u,g,0.125,c,0,False,v,0.165,False,0,False,132,g,Failure
431,a,27.33,u,g,1.665,ff,1,False,ff,0.0,False,0,False,340,g,Failure
432,b,31.25,u,g,1.125,ff,19,True,ff,0.0,False,1,False,96,g,Failure
433,b,20,u,g,7.0,c,0,False,v,0.5,False,0,False,0,g,Failure
434,b,31.976661,y,p,3.0,i,1,False,bb,7.0,False,0,False,0,g,Failure
435,b,39.5,u,g,1.625,c,316,False,v,1.5,False,0,False,0,g,Failure
436,b,36.5,u,g,4.25,q,50,False,v,3.5,False,0,False,454,g,Failure
437,b,29.75,u,g,0.665,w,0,False,v,0.25,False,0,True,300,g,Failure
438,b,52.42,u,g,1.5,d,350,False,v,3.75,False,0,True,0,g,Failure
439,b,36.17,u,g,18.125,w,3552,False,v,0.085,False,0,False,320,g,Failure
440,b,34.58,u,g,0.0,c,0,False,v,0.0,False,0,False,186.928044,p,Failure
441,b,29.67,y,p,0.75,c,0,False,v,0.04,False,0,False,240,g,Failure
442,b,36.17,u,g,5.5,i,687,False,bb,5.0,False,0,False,210,g,Failure
443,b,25.67,y,p,0.29,c,0,False,v,1.5,False,0,True,160,g,Failure
444,a,24.5,y,p,2.415,c,0,False,v,0.0,False,0,False,120,g,Failure
445,b,24.08,u,g,0.875,m,1950,True,v,0.085,False,4,False,254,g,Failure
446,b,21.92,u,g,0.5,c,0,False,v,0.125,False,0,False,360,g,Failure
447,a,36.58,u,g,0.29,ff,18,True,ff,0.0,False,10,False,200,g,Failure
448,a,23,u,g,1.835,j,53,True,j,0.0,False,1,False,200,g,Failure
449,a,27.58,u,g,3.0,m,10,True,v,2.79,False,1,True,280,g,Failure
450,b,31.08,u,g,3.085,c,41,True,v,2.5,False,2,True,160,g,Failure
451,a,30.42,u,g,1.375,w,33,True,h,0.04,False,3,False,0,g,Failure
452,b,22.08,u,g,2.335,k,0,False,v,0.75,False,0,False,180,g,Failure
453,b,16.33,u,g,4.085,i,0,False,h,0.415,False,0,True,120,g,Failure
454,a,21.92,u,g,11.665,k,5,False,h,0.085,False,0,False,320,g,Failure
455,b,21.08,y,p,4.125,i,100,False,h,0.04,False,0,False,140,g,Failure
456,b,17.42,u,g,6.5,i,100,False,v,0.125,False,0,False,60,g,Failure
457,b,19.17,y,p,4.0,i,1000,False,v,1.0,False,0,True,360,g,Failure
458,b,20.67,u,g,0.415,c,44,False,v,0.125,False,0,False,0,g,Failure
459,b,26.75,u,g,2.0,d,0,False,v,0.75,False,0,True,80,g,Failure
460,b,23.58,u,g,0.835,i,5,False,h,0.085,False,0,True,220,g,Failure
461,b,39.17,y,p,2.5,i,0,False,h,10.0,False,0,True,200,s,Failure
462,b,22.75,u,g,11.5,i,0,False,v,0.415,False,0,False,0,g,Failure
463,b,26.5,y,p,2.71,c,0,False,v,0.085,False,0,False,80,s,Failure
464,a,16.92,u,g,0.5,i,35,True,v,0.165,False,6,True,240,g,Failure
465,b,23.5,y,p,3.165,k,80,True,v,0.415,False,1,True,280,g,Failure
466,a,17.33,u,g,9.5,aa,10,True,v,1.75,False,10,True,0,g,Failure
467,b,23.75,y,p,0.415,c,6,True,v,0.04,False,2,False,128,g,Failure
468,b,34.67,u,g,1.08,m,0,False,v,1.165,False,0,False,28,s,Failure
469,b,74.83,y,p,19.0,ff,351,True,ff,0.04,False,2,False,0,g,Failure
470,b,28.17,y,p,0.125,k,2100,False,v,0.085,False,0,False,216,g,Failure
471,b,24.5,y,p,13.335,aa,475,False,v,0.04,False,0,True,120,g,Failure
472,b,18.83,y,p,3.54,ff,1,False,ff,0.0,False,0,True,180,g,Failure
473,b,45.33,u,g,1.0,q,0,False,v,0.125,False,0,True,263,g,Failure
474,a,47.25,u,g,0.75,q,892,True,h,2.75,True,1,False,333,g,Success
475,b,24.17,u,g,0.875,q,2000,True,v,4.625,True,2,True,520,g,Success
476,b,39.25,u,g,9.5,m,4607,True,v,6.5,True,14,False,240,g,Success
477,a,20.5,u,g,11.835,c,0,False,h,6.0,True,0,False,340,g,Success
478,a,18.83,y,p,4.415,c,0,False,h,3.0,True,0,False,240,g,Success
479,b,19.17,u,g,9.5,w,2206,False,v,1.5,True,0,False,120,g,Success
480,a,25,u,g,0.875,x,5860,False,h,1.04,True,0,True,160,g,Success
481,b,20.17,u,g,9.25,c,28,True,v,1.665,True,3,True,40,g,Success
482,b,20.25,u,g,9.96,e,0,False,dd,0.0,True,0,False,0,g,Success
483,b,22.67,y,p,2.54,c,0,False,h,2.585,True,0,False,0,g,Success
484,b,31.976661,u,g,10.5,x,0,False,v,6.5,True,0,False,0,g,Success
485,a,60.92,u,g,5.0,aa,99,True,v,4.0,True,4,False,0,g,Success
486,b,16.08,u,g,0.75,c,690,True,v,1.75,True,5,True,352,g,Success
487,a,28.17,u,g,0.375,q,0,True,v,0.585,True,4,False,80,g,Success
488,b,39.17,u,g,1.71,x,0,True,v,0.125,True,5,True,480,g,Success
489,b,20.42,u,g,7.5,k,234,True,v,1.5,True,1,False,160,g,Success
490,a,30,u,g,5.29,e,500,True,dd,2.25,True,5,True,99,g,Success
491,b,22.83,u,g,3.0,m,800,True,v,1.29,True,1,False,260,g,Success
492,a,22.5,u,g,8.5,q,990,True,v,1.75,True,10,False,80,g,Failure
493,a,28.58,u,g,1.665,q,0,False,v,2.415,True,0,True,440,g,Failure
494,b,45.17,u,g,1.5,c,0,False,v,2.5,True,0,True,140,g,Failure
495,b,41.58,u,g,1.75,k,0,False,v,0.21,True,0,False,160,g,Failure
496,a,57.08,u,g,0.335,i,2197,False,bb,1.0,True,0,True,252,g,Failure
497,a,55.75,u,g,7.08,k,50,True,h,6.75,True,3,True,100,g,Failure
498,b,43.25,u,g,25.21,q,90,True,h,0.21,True,1,False,760,g,Failure
499,a,25.33,u,g,2.085,c,1,False,h,2.75,True,0,True,360,g,Failure
500,a,24.58,u,g,0.67,aa,0,False,h,1.75,True,0,False,400,g,Failure
501,b,43.17,u,g,2.25,i,0,False,bb,0.75,True,0,False,560,g,Failure
502,b,40.92,u,g,0.835,ff,1,False,ff,0.0,True,0,False,130,g,Failure
503,b,31.83,u,g,2.5,aa,0,False,v,7.5,True,0,True,523,g,Failure
504,a,33.92,y,p,1.585,ff,0,False,ff,0.0,True,0,False,320,g,Failure
505,a,24.92,u,g,1.25,ff,0,False,ff,0.0,True,0,False,80,g,Failure
506,b,35.25,u,g,3.165,x,0,False,h,3.75,True,0,True,680,g,Failure
507,b,34.25,u,g,1.75,w,0,False,bb,0.25,True,0,True,163,g,Failure
508,b,80.25,u,g,5.5,c,340,False,v,0.54,True,0,False,0,g,Failure
509,b,19.42,y,p,1.5,cc,20,False,v,2.0,True,0,True,100,g,Failure
510,b,42.75,u,g,3.0,i,200,False,bb,1.0,True,0,False,0,g,Failure
511,b,19.67,y,p,10.0,k,0,False,h,0.835,True,0,True,140,g,Failure
512,b,36.33,u,g,3.79,w,0,False,v,1.165,True,0,True,200,g,Failure
513,b,30.08,y,p,1.04,i,28,True,bb,0.5,True,10,True,132,g,Failure
514,b,44.25,y,p,11.0,d,0,False,v,1.5,True,0,False,0,s,Failure
515,b,23.58,y,p,0.46,w,347,True,v,2.625,True,6,True,208,g,Failure
516,b,23.92,u,g,1.5,d,327,True,h,1.875,True,6,False,200,g,Success
517,b,33.17,u,g,1.0,x,4071,True,v,0.75,True,7,True,340,g,Success
518,b,48.33,u,g,12.0,m,0,False,v,16.0,True,0,False,110,s,Success
519,b,76.75,u,g,22.29,e,109,True,z,12.75,True,1,True,0,g,Success
520,b,51.33,u,g,10.0,i,1249,True,bb,0.0,True,11,False,0,g,Success
521,b,34.75,u,g,15.0,r,134,True,n,5.375,True,9,True,0,g,Success
522,b,38.58,u,g,3.335,w,1344,True,v,4.0,True,14,False,383,g,Success
523,a,22.42,y,p,11.25,x,321,True,h,0.75,True,4,False,0,g,Success
524,b,41.92,u,g,0.42,c,948,True,h,0.21,True,6,False,220,g,Success
525,b,29.58,u,g,4.5,w,0,True,v,7.5,True,2,True,330,g,Success
526,a,32.17,u,g,1.46,w,2079,True,v,1.085,True,16,False,120,g,Success
527,b,51.42,u,g,0.04,x,3000,False,h,0.04,True,0,False,0,g,Success
528,a,22.83,u,g,2.29,q,2384,True,h,2.29,True,7,True,140,g,Success
529,a,25,u,g,12.33,cc,458,True,h,3.5,True,6,False,400,g,Success
530,b,26.75,u,g,1.125,x,5298,False,h,1.25,True,0,False,0,g,Success
531,b,23.33,u,g,1.5,c,200,False,h,1.415,True,0,False,422,g,Success
532,b,24.42,u,g,12.335,q,0,False,h,1.585,True,0,True,120,g,Success
533,b,42.17,u,g,5.04,q,0,False,h,12.75,True,0,True,92,g,Success
534,a,20.83,u,g,3.0,aa,0,False,v,0.04,True,0,False,100,g,Success
535,b,23.08,u,g,11.5,w,284,True,h,2.125,True,11,True,290,g,Success
536,a,25.17,u,g,2.875,x,0,False,h,0.875,True,0,False,360,g,Success
537,b,43.08,y,p,0.375,c,162,True,v,0.375,True,8,True,300,g,Success
538,a,35.75,u,g,0.915,aa,1583,True,v,0.75,True,4,False,0,g,Success
539,b,59.5,u,g,2.75,w,58,True,v,1.75,True,5,True,60,g,Success
540,b,21,y,p,3.0,d,1,True,v,1.085,True,8,True,160,g,Success
541,b,21.92,y,p,0.54,x,59,True,v,0.04,True,1,True,840,g,Success
542,a,65.17,u,g,14.0,ff,1400,True,ff,0.0,True,11,True,0,g,Success
543,a,20.33,u,g,10.0,c,1465,True,h,1.0,True,4,False,50,g,Success
544,b,32.25,y,p,0.165,c,8000,True,h,3.25,True,1,True,432,g,Success
545,b,30.17,u,g,0.5,c,540,True,v,1.75,True,11,False,32,g,Success
546,b,25.17,u,g,6.0,c,0,True,v,1.0,True,3,False,0,g,Success
547,b,39.17,u,g,1.625,c,4700,True,v,1.5,True,10,False,186,g,Success
548,b,39.08,u,g,6.0,m,1097,True,v,1.29,True,5,True,108,g,Success
549,b,31.67,u,g,0.83,x,3290,True,v,1.335,True,8,True,303,g,Success
550,b,41,u,g,0.04,e,0,True,v,0.04,False,1,False,560,s,Success
551,b,48.5,u,g,4.25,m,0,False,v,0.125,True,0,True,225,g,Success
